route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
00005,N,00005_A_N_0722,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,N,00005_B_N_1255,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,S,00005_A_S_0554,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,S,00005_B_S_2306,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,N,00005_A_N_1735,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,S,00005_B_S_0709,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,S,00005_A_S_1322,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,RD,00005_B_RD_1204,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,S,00005_A_S_1309,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,RD,00005_B_RD_1243,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,RD,00005_A_RD_0730,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,RD,00005_B_RD_1525,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,S,00005_A_S_1709,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,RD,00005_B_RD_1840,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,RD,00005_A_RD_1136,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,RD,00005_B_RD_1942,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,RD,00005_A_RD_0920,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,RD,00005_B_RD_0844,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,RD,00005_A_RD_1221,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,RD,00005_A_RD_0745,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
